"tilskuddsnummer";"tilskuddsmottakerOrganisasjonsnummer";"tilskuddsmottakerNavn";"kommunenummer";"kommune";"fylkesnummer";"fylke";"naeringskode1";"naeringskode2";"naeringskode3";"tilskuddsbelop";"tildelingsdato";"tilskuddsperiode";"sammenligningsperiode";"sumFasteUungaaeligeKostanderITilskuddsperioden";"omsetningITilskuddsperiode";"omsetningISammenligningsperiode";"justeringsfaktor";"uavhengigMedsignererOrganisasjonsnummer";"uavhengigMedsignererNavn"
"2021009050";"921404646";"HEIA GJESTEGÅRD AS";"5045";"GRONG";"5000";"Trøndelag Trööndelage";"55.101";"";"";"56780,33";"2021-03-02T00:00";"november-desember2020";"november-desember2019";"148015,00";"304812,00";"555525,00";"0.85";"993606650";"BDO AS"
"2021009049";"919559381";"MOLDE MINIBUSS & CRUISESERVICE AS";"1506";"MOLDE";"1500";"Møre og Romsdal";"49.392";"";"";"30413,71";"2021-03-02T00:00";"november-desember2020";"november-desember2019";"38586,00";"24150,00";"332191,00";"0.85";"993313092";"EFFEKTIV REGNSKAP AS"
"2021009048";"985954569";"MOHAMMAD ARSHID JAVED";"3024";"BÆRUM";"3000";"Viken";"49.320";"";"";"10436,63";"2021-03-02T00:00";"november-desember2020";"november-desember2019";"32967,00";"185388,00";"295413,00";"0.85";"870992122";"NORGES TAXI REGNSKAP AS"
"2021009047";"812912062";"ERLING HØRGÅRD AS";"3024";"BÆRUM";"3000";"Viken";"46.450";"68.209";"";"34200,73";"2021-03-02T00:00";"november-desember2020";"november-desember2019";"93273,00";"85509,00";"150380,00";"0.85";"993606650";"BDO AS"
"2021009046";"980461505";"SENTRUMSGRILLEN AS";"5403";"ALTA";"5400";"Troms og Finnmark Romsa ja Finnmárku";"56.102";"";"";"57671,33";"2021-03-02T00:00";"november-desember2020";"november-desember2019";"209723,00";"1352589,00";"1999438,00";"0.85";"919578041";"ISAK REGNSKAP AS"
"2021009045";"876698072";"KJELL EDGAR JONASSEN";"0301";"OSLO";"0300";"Oslo";"49.320";"";"";"11088,28";"2021-03-02T00:00";"september-oktober2020";"september-oktober2019";"30569,00";"127720,00";"265081,00";"0.70";"870992122";"NORGES TAXI REGNSKAP AS"
"2021009044";"992553650";"FJELLKYSTEN AS";"5415";"LAVANGEN";"5400";"Troms og Finnmark Romsa ja Finnmárku";"68.209";"55.101";"";"63960,36";"2021-03-02T00:00";"november-desember2020";"november-desember2019";"100904,00";"214063,00";"841884,00";"0.85";"999116078";"REGNSKAP I NOR AS"
"2021009043";"985343209";"TAXI NÆRING IFTIKHAR AHMAD";"0301";"OSLO";"0300";"Oslo";"49.320";"";"";"16296,02";"2021-03-02T00:00";"november-desember2020";"november-desember2019";"32200,00";"81184,00";"200651,00";"0.85";"989946277";"IGK REGNSKAP AS"
"2021009042";"987642653";"MAROSAN DARKO";"0301";"OSLO";"0300";"Oslo";"49.320";"";"";"10599,50";"2021-03-02T00:00";"november-desember2020";"november-desember2019";"31027,00";"125250,00";"209416,00";"0.85";"989946277";"IGK REGNSKAP AS"
"2021009041";"980894584";"MOHAMMAD RAZZAQ";"0301";"OSLO";"0300";"Oslo";"49.320";"";"";"11871,12";"2021-03-02T00:00";"september-oktober2020";"september-oktober2019";"35446,00";"210959,00";"404476,00";"0.70";"989946277";"IGK REGNSKAP AS"
"2021009040";"980894584";"MOHAMMAD RAZZAQ";"0301";"OSLO";"0300";"Oslo";"49.320";"";"";"12341,11";"2021-03-02T00:00";"november-desember2020";"november-desember2019";"35446,00";"215626,00";"365225,00";"0.85";"989946277";"IGK REGNSKAP AS"
"2021009038";"971276657";"FAROOQ MOHAMMAD TAXIEIER";"0301";"OSLO";"0300";"Oslo";"49.320";"";"";"21936,10";"2021-03-02T00:00";"november-desember2020";"november-desember2019";"35227,00";"95624,00";"357602,00";"0.85";"989946277";"IGK REGNSKAP AS"
"2021009037";"971276657";"FAROOQ MOHAMMAD TAXIEIER";"0301";"OSLO";"0300";"Oslo";"49.320";"";"";"12544,53";"2021-03-02T00:00";"september-oktober2020";"september-oktober2019";"35227,00";"125068,00";"254577,00";"0.70";"989946277";"IGK REGNSKAP AS"
"2021009036";"889067292";"CC PARTNER LILLESTRØM AS";"3030";"LILLESTRØM";"3000";"Viken";"82.190";"";"";"61012,49";"2021-03-02T00:00";"november-desember2020";"november-desember2019";"238577,00";"627806,00";"897975,00";"0.85";"996987671";"REGNSKAPSKOLLEGIET AS"
"2021009035";"918036563";"FINNSKOGENS ARMERINGSSERVICE AS";"3030";"LILLESTRØM";"3000";"Viken";"42.990";"";"";"6040,10";"2021-03-02T00:00";"november-desember2020";"november-desember2019";"7106,00";"0,00";"1616190,00";"0.85";"994906097";"BREDESEN OPSET REGNSKAP AS"
"2021009034";"918036563";"FINNSKOGENS ARMERINGSSERVICE AS";"3030";"LILLESTRØM";"3000";"Viken";"42.990";"";"";"7098,00";"2021-03-02T00:00";"september-oktober2020";"september-oktober2019";"10140,00";"0,00";"1351080,00";"0.70";"994906097";"BREDESEN OPSET REGNSKAP AS"
"2021009033";"980740021";"FRANK GØRAN JOHANSEN";"0301";"OSLO";"0300";"Oslo";"49.320";"";"";"19545,89";"2021-03-02T00:00";"november-desember2020";"november-desember2019";"32879,00";"99283,00";"330269,00";"0.85";"922829845";"PARTNER REVISJON AS"
"2021009032";"980740021";"FRANK GØRAN JOHANSEN";"0301";"OSLO";"0300";"Oslo";"49.320";"";"";"9198,09";"2021-03-02T00:00";"september-oktober2020";"september-oktober2019";"41679,00";"190670,00";"278460,00";"0.70";"922829845";"PARTNER REVISJON AS"
"2021009031";"979281641";"UNNI R GUNLEIKSEN";"3036";"NANNESTAD";"3000";"Viken";"49.320";"";"";"6820,91";"2021-03-02T00:00";"november-desember2020";"november-desember2019";"26608,00";"156634,00";"224271,00";"0.85";"870992122";"NORGES TAXI REGNSKAP AS"
"2021009030";"953530422";"PARTMAN AS";"0301";"OSLO";"0300";"Oslo";"82.990";"";"";"29710,71";"2021-03-02T00:00";"november-desember2020";"november-desember2019";"67250,00";"214664,00";"446992,00";"0.85";"991096957";"AS REVISION"
"2021009029";"953530422";"PARTMAN AS";"0301";"OSLO";"0300";"Oslo";"82.990";"";"";"33396,88";"2021-03-02T00:00";"september-oktober2020";"januar-februar2020";"61563,00";"168995,00";"751008,00";"0.70";"991096957";"AS REVISION"
"2021009028";"988522570";"ICCT";"3031";"NITTEDAL";"3000";"Viken";"70.220";"";"";"11610,39";"2021-03-02T00:00";"november-desember2020";"november-desember2019";"18984,00";"50000,00";"178263,00";"0.85";"993247332";"CON2 REGNSKAP"
"2021009027";"991894179";"MOHAMMAD FAROOQ ASGHAR RAJA";"0301";"OSLO";"0300";"Oslo";"49.320";"";"";"11593,71";"2021-03-02T00:00";"november-desember2020";"november-desember2019";"23228,00";"174075,00";"421701,00";"0.85";"951235539";"TAXIREGNSKAP AS"
"2021009025";"995520443";"MUHAMMAD AFZAL";"0301";"OSLO";"0300";"Oslo";"49.320";"";"";"14944,96";"2021-03-02T00:00";"november-desember2020";"november-desember2019";"32107,00";"90223,00";"199439,00";"0.85";"989946277";"IGK REGNSKAP AS"
"2021009024";"822571352";"HAGA CATERING";"3054";"LUNNER";"3000";"Viken";"56.290";"";"";"18571,57";"2021-03-02T00:00";"november-desember2020";"november-desember2019";"28702,00";"53884,00";"225676,00";"0.85";"996433536";"KATHRIN BRÅTEN REGNSKAP"
"2021009023";"979726120";"KHALID SADIQ CHOHAN";"3034";"NES";"3000";"Viken";"49.320";"";"";"27412,23";"2021-03-02T00:00";"november-desember2020";"november-desember2019";"81249,00";"397526,00";"659164,00";"0.85";"989946277";"IGK REGNSKAP AS"
"2021009022";"913025180";"JAWAD AKHTAR";"0301";"OSLO";"0300";"Oslo";"49.320";"";"";"45495,85";"2021-03-02T00:00";"november-desember2020";"januar-februar2020";"73168,00";"171537,00";"638941,00";"0.85";"989946277";"IGK REGNSKAP AS"
"2021009021";"994521225";"KHURAM SHEHZAD";"0301";"OSLO";"0300";"Oslo";"49.320";"";"";"30351,31";"2021-03-02T00:00";"september-oktober2020";"september-oktober2019";"128610,00";"710979,00";"1072586,00";"0.70";"989946277";"IGK REGNSKAP AS"
"2021009020";"994706225";"MEHMOOD SARWAR TARIQ";"0301";"OSLO";"0300";"Oslo";"49.320";"";"";"19967,73";"2021-03-02T00:00";"november-desember2020";"november-desember2019";"32253,00";"81270,00";"299171,00";"0.85";"989946277";"IGK REGNSKAP AS"
"2021009019";"960484029";"BALESTRAND HOTELL AS";"4640";"SOGNDAL";"4600";"Vestland";"55.101";"";"";"27147,16";"2021-03-02T00:00";"september-oktober2020";"september-oktober2019";"40004,00";"5000,00";"163636,00";"0.70";"963215827";"BLOM & FOSSAN AS"
"2021009018";"889552212";"AHMED EL AMIRI";"0301";"OSLO";"0300";"Oslo";"49.320";"";"";"20842,23";"2021-03-02T00:00";"november-desember2020";"november-desember2019";"26865,00";"23139,00";"265118,00";"0.85";"989946277";"IGK REGNSKAP AS"
"2021009017";"988580120";"GINTAUTAS RAULINAITIS";"3019";"VESTBY";"3000";"Viken";"49.320";"";"";"15356,16";"2021-03-02T00:00";"november-desember2020";"november-desember2019";"47045,00";"102993,00";"167201,00";"0.85";"989946277";"IGK REGNSKAP AS"
"2021009016";"987066237";"DC NORGE AS";"3024";"BÆRUM";"3000";"Viken";"85.599";"";"";"44509,75";"2021-03-02T00:00";"november-desember2020";"november-desember2019";"90275,00";"494000,00";"1176343,00";"0.85";"989400835";"M-REGNSKAP AS"
"2021009015";"988240575";"MOHAMMAD GHAZANFAR";"0301";"OSLO";"0300";"Oslo";"49.320";"";"";"17435,89";"2021-03-02T00:00";"november-desember2020";"november-desember2019";"28109,00";"76240,00";"282119,00";"0.85";"989946277";"IGK REGNSKAP AS"
"2021009014";"988240575";"MOHAMMAD GHAZANFAR";"0301";"OSLO";"0300";"Oslo";"49.320";"";"";"10124,30";"2021-03-02T00:00";"september-oktober2020";"september-oktober2019";"28109,00";"132538,00";"273017,00";"0.70";"989946277";"IGK REGNSKAP AS"
"2021009013";"915149987";"LEUTHEN-KLINIKKEN AS";"5035";"STJØRDAL";"5000";"Trøndelag Trööndelage";"86.211";"";"";"22069,16";"2021-03-02T00:00";"november-desember2020";"november-desember2019";"60629,00";"86050,00";"150500,00";"0.85";"986486666";"SELBU ØKONOMI & REGNSKAP AS"
"2021009012";"988265012";"FAISAL SHAMIM";"0301";"OSLO";"0300";"Oslo";"49.320";"";"";"11396,32";"2021-03-02T00:00";"november-desember2020";"november-desember2019";"21408,00";"65829,00";"176146,00";"0.85";"989946277";"IGK REGNSKAP AS"
"2021009011";"978664512";"HECTO EIENDOM AS";"0301";"OSLO";"0300";"Oslo";"68.100";"";"";"8737,14";"2021-03-02T00:00";"november-desember2020";"november-desember2019";"27384,00";"110949,00";"177622,00";"0.85";"990422052";"PLUS REVISJON AS"
"2021009010";"988078441";"MUHAMMAD GHAZANFAR JAVED";"3031";"NITTEDAL";"3000";"Viken";"49.320";"";"";"16456,95";"2021-03-02T00:00";"november-desember2020";"november-desember2019";"30314,00";"84915,00";"235017,00";"0.85";"989946277";"IGK REGNSKAP AS"
"2021009009";"988078441";"MUHAMMAD GHAZANFAR JAVED";"3031";"NITTEDAL";"3000";"Viken";"49.320";"";"";"15144,76";"2021-03-02T00:00";"september-oktober2020";"september-oktober2019";"30314,00";"72117,00";"251901,00";"0.70";"989946277";"IGK REGNSKAP AS"
"2021009008";"978664512";"HECTO EIENDOM AS";"0301";"OSLO";"0300";"Oslo";"68.100";"";"";"13528,31";"2021-03-02T00:00";"september-oktober2020";"september-oktober2019";"27384,00";"109620,00";"372536,00";"0.70";"990422052";"PLUS REVISJON AS"
"2021009007";"913575970";"CAMEXX AVD DRAMMEN AS";"3025";"ASKER";"3000";"Viken";"47.710";"";"";"31027,46";"2021-03-02T00:00";"november-desember2020";"november-desember2019";"101532,00";"304834,00";"475947,00";"0.85";"910439898";"PROACC AS"
"2021009006";"915026451";"REMOTION AS";"1108";"SANDNES";"1100";"Rogaland";"09.109";"";"";"296022,51";"2021-03-02T00:00";"september-oktober2020";"september-oktober2019";"653363,00";"1746589,00";"4951353,00";"0.70";"987009713";"PRICEWATERHOUSECOOPERS AS"
"2021009004";"976580230";"JOHN-ASBJØRN BOYESEN";"0301";"OSLO";"0300";"Oslo";"49.320";"";"";"10233,08";"2021-03-02T00:00";"september-oktober2020";"september-oktober2019";"43232,00";"198434,00";"299815,00";"0.70";"922829845";"PARTNER REVISJON AS"
"2021009003";"915026451";"REMOTION AS";"1108";"SANDNES";"1100";"Rogaland";"09.109";"";"";"354837,54";"2021-03-02T00:00";"november-desember2020";"november-desember2019";"526643,00";"606353,00";"2924628,00";"0.85";"987009713";"PRICEWATERHOUSECOOPERS AS"
"2021009002";"992248149";"NICHAPAT PATOR";"4627";"ASKØY";"4600";"Vestland";"47.810";"";"";"6753,09";"2021-03-02T00:00";"november-desember2020";"november-desember2019";"10096,00";"5248,00";"24630,00";"0.85";"984540671";"ØKONOMIHUSET AS"
"2021009001";"992248149";"NICHAPAT PATOR";"4627";"ASKØY";"4600";"Vestland";"47.810";"";"";"10012,80";"2021-03-02T00:00";"september-oktober2020";"september-oktober2019";"14304,00";"0,00";"422824,00";"0.70";"984540671";"ØKONOMIHUSET AS"
"2021009000";"920017290";"EBRIMA JAMMEH";"3035";"EIDSVOLL";"3000";"Viken";"49.320";"";"";"5496,21";"2021-03-02T00:00";"november-desember2020";"november-desember2019";"16567,00";"111176,00";"182346,00";"0.85";"870992122";"NORGES TAXI REGNSKAP AS"
"2021008997";"988666351";"SPANIAHJEM AS";"0301";"OSLO";"0300";"Oslo";"68.310";"";"";"10791,71";"2021-03-02T00:00";"november-desember2020";"november-desember2019";"27495,00";"99854,00";"185520,00";"0.85";"989400835";"M-REGNSKAP AS"
"2021008996";"976580230";"JOHN-ASBJØRN BOYESEN";"0301";"OSLO";"0300";"Oslo";"49.320";"";"";"20153,14";"2021-03-02T00:00";"november-desember2020";"november-desember2019";"34779,00";"123919,00";"389341,00";"0.85";"922829845";"PARTNER REVISJON AS"
"2021008995";"918366334";"RAJA IFTIKHAR RAJA IFTIKHAR AHMED JANJUA";"0301";"OSLO";"0300";"Oslo";"49.320";"";"";"6464,06";"2021-03-02T00:00";"november-desember2020";"november-desember2019";"15534,00";"42818,00";"83884,00";"0.85";"951235539";"TAXIREGNSKAP AS"
"2021008993";"971497939";"DAG FORFANG";"0301";"OSLO";"0300";"Oslo";"49.320";"";"";"12019,49";"2021-03-02T00:00";"november-desember2020";"november-desember2019";"43139,00";"171541,00";"255190,00";"0.85";"913960750";"ABC ACCOUNTING AS"
"2021008992";"917709300";"AS BULL INDUSTRI- OG SKIPSTEKNISK";"3024";"BÆRUM";"3000";"Viken";"46.693";"";"";"101770,11";"2021-03-02T00:00";"november-desember2020";"november-desember2019";"178128,00";"3554669,00";"10842513,00";"0.85";"993606650";"BDO AS"
"2021008991";"918366334";"RAJA IFTIKHAR RAJA IFTIKHAR AHMED JANJUA";"0301";"OSLO";"0300";"Oslo";"49.320";"";"";"11431,64";"2021-03-02T00:00";"september-oktober2020";"september-oktober2019";"25092,00";"33397,00";"95650,00";"0.70";"951235539";"TAXIREGNSKAP AS"
"2021008990";"917709300";"AS BULL INDUSTRI- OG SKIPSTEKNISK";"3024";"BÆRUM";"3000";"Viken";"46.693";"";"";"43328,59";"2021-03-02T00:00";"september-oktober2020";"september-oktober2019";"177814,00";"3718285,00";"5703812,00";"0.70";"993606650";"BDO AS"
"2021008989";"971497939";"DAG FORFANG";"0301";"OSLO";"0300";"Oslo";"49.320";"";"";"15906,99";"2021-03-02T00:00";"september-oktober2020";"september-oktober2019";"47400,00";"160539,00";"308382,00";"0.70";"913960750";"ABC ACCOUNTING AS"
"2021008988";"982961580";"YRKESTRAFIKK AS";"1103";"STAVANGER";"1100";"Rogaland";"49.320";"";"";"150676,57";"2021-03-02T00:00";"november-desember2020";"november-desember2019";"555897,00";"2115019,00";"3105225,00";"0.85";"922723605";"JANSSON & LARSEN REGNSKAP SANDNES AS"
"2021008987";"992322160";"CASTBERG KNIV OG GAFFEL";"0301";"OSLO";"0300";"Oslo";"56.101";"";"";"36955,04";"2021-03-02T00:00";"november-desember2020";"november-desember2019";"48578,00";"118898,00";"1132185,00";"0.85";"920805566";"REVISOR1 AS"
"2021008986";"992322160";"CASTBERG KNIV OG GAFFEL";"0301";"OSLO";"0300";"Oslo";"56.101";"";"";"13445,94";"2021-03-02T00:00";"september-oktober2020";"september-oktober2019";"48698,00";"676217,00";"1116682,00";"0.70";"920805566";"REVISOR1 AS"
"2021008985";"877675122";"BITMAP AS";"1103";"STAVANGER";"1100";"Rogaland";"74.200";"";"";"54932,43";"2021-03-02T00:00";"november-desember2020";"november-desember2019";"383327,00";"925560,00";"1778083,00";"0.85";"982519411";"REVISJON VEST AS"
"2021008984";"919181885";"A-563 MOHAMMAD RAZAQ";"0301";"OSLO";"0300";"Oslo";"49.320";"";"";"12052,90";"2021-03-02T00:00";"november-desember2020";"november-desember2019";"27072,00";"216001,00";"453578,00";"0.85";"951235539";"TAXIREGNSKAP AS"
"2021008983";"877675122";"BITMAP AS";"1103";"STAVANGER";"1100";"Rogaland";"74.200";"";"";"53295,50";"2021-03-02T00:00";"september-oktober2020";"september-oktober2019";"394158,00";"1794145,00";"3120237,00";"0.70";"982519411";"REVISJON VEST AS"
"2021008982";"953133032";"HOTEL EXPRESS INTERNATIONAL AS";"4204";"KRISTIANSAND";"4200";"Agder";"79.110";"";"";"85636,13";"2021-03-02T00:00";"november-desember2020";"november-desember2019";"109902,00";"65008,00";"780513,00";"0.85";"916162634";"VALUE KRISTIANSAND AS"
"2021008981";"961570867";"DOWN TOWN BOWLING AS";"3806";"PORSGRUNN";"3800";"Vestfold og Telemark";"93.110";"";"";"140248,56";"2021-03-02T00:00";"november-desember2020";"november-desember2019";"362330,00";"792485,00";"1455119,00";"0.85";"820937422";"WICAN REGNSKAP VESTFOLD AS"
"2021008980";"912417182";"NORGES KJØKKEN AS";"4601";"BERGEN";"4600";"Vestland";"47.990";"";"";"12415,88";"2021-03-02T00:00";"november-desember2020";"november-desember2019";"28561,00";"568760,00";"1164129,00";"0.85";"979302991";"ECIT ØKONOMIFORUM AS"
"2021008979";"987840463";"NORWAY INSIGHT AS";"4601";"BERGEN";"4600";"Vestland";"79.903";"";"";"39098,23";"2021-03-02T00:00";"september-oktober2020";"september-oktober2019";"62894,00";"35373,00";"316043,00";"0.70";"918698450";"AGENDA ØKONOMI AS"
"2021008977";"921477791";"AUGUST 7 AS";"0301";"OSLO";"0300";"Oslo";"56.101";"";"";"69271,27";"2021-03-02T00:00";"november-desember2020";"november-desember2019";"96047,94";"128506,00";"848162,00";"0.85";"993606650";"BDO AS"
"2021008976";"998185955";"OTHMAN LUTFI";"1106";"HAUGESUND";"1100";"Rogaland";"49.320";"";"";"13224,19";"2021-03-02T00:00";"september-oktober2020";"september-oktober2019";"40781,00";"81095,11";"151084,80";"0.70";"919357347";"AT-H AS"
"2021008975";"916277571";"REAL ENTERTAINMENT AS";"3034";"NES";"3000";"Viken";"90.011";"";"";"40814,21";"2021-03-02T00:00";"september-oktober2020";"september-oktober2019";"71566,00";"418832,00";"2260494,00";"0.70";"935392667";"BDT VIKEN REGNSKAP AS"
"2021008974";"916277571";"REAL ENTERTAINMENT AS";"3034";"NES";"3000";"Viken";"90.011";"";"";"38246,88";"2021-03-02T00:00";"november-desember2020";"november-desember2019";"52903,00";"248305,00";"1661391,00";"0.85";"935392667";"BDT VIKEN REGNSKAP AS"
"2021008973";"977485495";"NILS BØRGE ØVSTEDAL";"4601";"BERGEN";"4600";"Vestland";"49.320";"";"";"10593,13";"2021-03-02T00:00";"november-desember2020";"november-desember2019";"26442,00";"198920,00";"376254,00";"0.85";"984257287";"TAXIØKONOMI AS"
"2021008972";"995469073";"JOBBSPREK DRIFT AS";"0301";"OSLO";"0300";"Oslo";"96.040";"";"";"495592,34";"2021-03-02T00:00";"november-desember2020";"november-desember2019";"1662076,00";"3659361,00";"5636690,00";"0.85";"995453355";"EMINENTIA REGNSKAP AS"
"2021008971";"980214176";"GRINDEVOLL MASKIN AS";"4624";"BJØRNAFJORDEN";"4600";"Vestland";"43.990";"";"";"114579,78";"2021-03-02T00:00";"november-desember2020";"november-desember2019";"138659,00";"26000,00";"934151,00";"0.85";"812830732";"ECIT OS AS"
"2021008970";"982947863";"RØDNE TRAFIKK AS";"1103";"STAVANGER";"1100";"Rogaland";"50.102";"";"";"1425823,17";"2021-03-02T00:00";"september-oktober2020";"september-oktober2019";"4018082,00";"17835763,00";"36172954,00";"0.70";"937505884";"L RØDNE & SØNNER AS"
"2021008969";"980214176";"GRINDEVOLL MASKIN AS";"4624";"BJØRNAFJORDEN";"4600";"Vestland";"43.990";"";"";"86876,83";"2021-03-02T00:00";"september-oktober2020";"september-oktober2019";"189173,00";"155577,00";"452344,00";"0.70";"812830732";"ECIT OS AS"
"2021008968";"998091373";"MARITIME CONSULTING AS";"1579";"HUSTADVIKA";"1500";"Møre og Romsdal";"78.200";"";"";"6338,26";"2021-03-02T00:00";"september-oktober2020";"september-oktober2019";"28164,00";"227398,00";"335147,00";"0.70";"997808339";"IREGNSKAP AS"
"2021008967";"990159203";"CHALET AS";"3025";"ASKER";"3000";"Viken";"68.209";"";"";"306600,38";"2021-03-02T00:00";"november-desember2020";"november-desember2019";"445948,00";"539572,00";"2822810,00";"0.85";"911811340";"ZPECTER ØKONOMI AS"
"2021008966";"998091373";"MARITIME CONSULTING AS";"1579";"HUSTADVIKA";"1500";"Møre og Romsdal";"78.200";"";"";"9633,41";"2021-03-02T00:00";"november-desember2020";"november-desember2019";"37143,00";"318555,00";"458438,00";"0.85";"997808339";"IREGNSKAP AS"
"2021008965";"995127423";"HØYDEN AS";"0301";"OSLO";"0300";"Oslo";"43.990";"";"";"145300,52";"2021-03-02T00:00";"november-desember2020";"november-desember2019";"476206,00";"4650232,00";"7254268,00";"0.85";"997934121";"ØKONOMITJENESTEN.NO AS"
"2021008964";"980406903";"MED STORM INNOVATION AS";"0301";"OSLO";"0300";"Oslo";"32.500";"";"";"94103,65";"2021-03-02T00:00";"november-desember2020";"november-desember2019";"139136,00";"187843,00";"919436,00";"0.85";"912597539";"FRØY ØKONOMI AS"
"2021008963";"980406903";"MED STORM INNOVATION AS";"0301";"OSLO";"0300";"Oslo";"32.500";"";"";"94491,15";"2021-03-02T00:00";"september-oktober2020";"september-oktober2019";"139136,00";"8125,00";"272494,00";"0.70";"912597539";"FRØY ØKONOMI AS"
"2021008961";"982469619";"THOMAS HEMSTAD";"0301";"OSLO";"0300";"Oslo";"49.320";"";"";"6953,11";"2021-03-02T00:00";"november-desember2020";"november-desember2019";"21564,00";"99597,00";"160470,00";"0.85";"870992122";"NORGES TAXI REGNSKAP AS"
"2021008960";"971283467";"MOHAMMAD SAFDAR";"0301";"OSLO";"0300";"Oslo";"49.320";"";"";"6990,03";"2021-03-02T00:00";"november-desember2020";"november-desember2019";"23555,00";"256323,00";"393811,00";"0.85";"951235539";"TAXIREGNSKAP AS"
"2021008959";"912175065";"HAREID PARKERINGSSELSKAP AS";"1517";"HAREID";"1500";"Møre og Romsdal";"52.212";"";"";"21288,21";"2021-03-02T00:00";"september-oktober2020";"september-oktober2019";"60534,00";"203239,00";"408431,00";"0.70";"936285066";"SPAREBANK 1 REGNSKAPSHUSET SMN AS"
"2021008958";"990997640";"NORGUARD ÅSTRØM";"3803";"TØNSBERG";"3800";"Vestfold og Telemark";"80.100";"";"";"40715,70";"2021-03-02T00:00";"november-desember2020";"november-desember2019";"59462,00";"115825,00";"595717,00";"0.85";"944826629";"AMESTO ACCOUNTHOUSE TØNSBERG AS"
"2021008957";"992037377";"SKYTTERBRILLER.NO AS";"4203";"ARENDAL";"4200";"Agder";"47.919";"";"";"16217,29";"2021-03-02T00:00";"november-desember2020";"november-desember2019";"56429,00";"104173,00";"157387,00";"0.85";"921405685";"SKATT OG REGNSKAPSRÅDGIVNING AS"
"2021008956";"912670511";"BETTER MOMENTS AS";"2100";"SVALBARD";"";"";"93.291";"";"";"180345,51";"2021-03-02T00:00";"november-desember2020";"november-desember2019";"224694,00";"13700,00";"245816,00";"0.85";"912839206";"LONGYEARBYEN REGNSKAP AS"
"2021008955";"997871197";"STANTON CHASE NORWAY AS";"0301";"OSLO";"0300";"Oslo";"78.100";"";"";"20945,76";"2021-03-02T00:00";"november-desember2020";"november-desember2019";"75613,00";"414712,00";"615206,00";"0.85";"995453355";"EMINENTIA REGNSKAP AS"
"2021008954";"983422993";"TRUNG MAU TRUONG";"0301";"OSLO";"0300";"Oslo";"49.320";"";"";"12235,66";"2021-03-02T00:00";"november-desember2020";"november-desember2019";"24547,00";"124406,00";"300804,00";"0.85";"870992122";"NORGES TAXI REGNSKAP AS"
"2021008953";"997871197";"STANTON CHASE NORWAY AS";"0301";"OSLO";"0300";"Oslo";"78.100";"";"";"29353,61";"2021-03-02T00:00";"september-oktober2020";"september-oktober2019";"74671,00";"136542,00";"311441,00";"0.70";"995453355";"EMINENTIA REGNSKAP AS"
"2021008952";"998616921";"GODEJORD ENTREPRENØR AS";"3030";"LILLESTRØM";"3000";"Viken";"43.120";"";"";"120267,74";"2021-03-02T00:00";"september-oktober2020";"september-oktober2019";"347893,00";"779794,00";"1540674,00";"0.70";"976942515";"SØRUM ØKONOMI AS"
"2021008950";"968326325";"VEST HOTELL HOLDING AS";"4651";"STRYN";"4600";"Vestland";"55.101";"70.100";"";"128277,95";"2021-03-02T00:00";"september-oktober2020";"september-oktober2019";"283382,00";"1776680,00";"5028366,00";"0.70";"987832916";"HOVDEN & VATNE STATSAUTORISERTE REVISORAR AS"
"2021008949";"968326325";"VEST HOTELL HOLDING AS";"4651";"STRYN";"4600";"Vestland";"55.101";"70.100";"";"117902,93";"2021-03-02T00:00";"november-desember2020";"november-desember2019";"293423,00";"468810,00";"889124,00";"0.85";"987832916";"HOVDEN & VATNE STATSAUTORISERTE REVISORAR AS"
"2021008948";"912881067";"FAROOQ ANSAR";"3029";"LØRENSKOG";"3000";"Viken";"49.320";"";"";"17828,94";"2021-03-02T00:00";"november-desember2020";"november-desember2019";"29270,00";"101362,00";"357679,00";"0.85";"951235539";"TAXIREGNSKAP AS"
"2021008947";"912881067";"FAROOQ ANSAR";"3029";"LØRENSKOG";"3000";"Viken";"49.320";"";"";"10762,43";"2021-03-02T00:00";"september-oktober2020";"september-oktober2019";"29933,00";"168251,00";"345942,00";"0.70";"951235539";"TAXIREGNSKAP AS"
"2021008946";"980800725";"TOM ARILD DALENG TAXI A1308";"0301";"OSLO";"0300";"Oslo";"49.320";"";"";"20128,66";"2021-03-02T00:00";"november-desember2020";"november-desember2019";"49694,00";"261232,00";"499041,00";"0.85";"870992122";"NORGES TAXI REGNSKAP AS"
"2021008945";"912175065";"HAREID PARKERINGSSELSKAP AS";"1517";"HAREID";"1500";"Møre og Romsdal";"52.212";"";"";"19224,85";"2021-03-02T00:00";"november-desember2020";"november-desember2019";"49916,00";"164104,00";"300068,00";"0.85";"936285066";"SPAREBANK 1 REGNSKAPSHUSET SMN AS"
"2021008944";"942237324";"OLEANABUTIKKEN AS";"4601";"BERGEN";"4600";"Vestland";"47.710";"";"";"25137,69";"2021-03-02T00:00";"september-oktober2020";"september-oktober2019";"68865,00";"398538,00";"832837,00";"0.70";"988782041";"COLLEGIUM REVISJON AS"
"2021008943";"988764078";"OLEANA STAVANGER AS";"1103";"STAVANGER";"1100";"Rogaland";"47.710";"";"";"7672,94";"2021-03-02T00:00";"september-oktober2020";"september-oktober2019";"69466,00";"231696,00";"407766,00";"0.70";"988782041";"COLLEGIUM REVISJON AS"
